Name,col.undertaken,Dob,Stream,Grade,state,city
ABROSER,goverenment,18-11-2002,MBBS,3.5,Pennsylvania,prattville*
ALEXANDER,goverenment,20-10-2000,BSC,2.5,vermont,gadsden+
ALEXANDER,private,20-10-2000,BE,8.5,arizona,decatur!
ALEXANDER,goverenment,01-01-2003,BTECH,4.5,oregon,huntsville/
AGNEW,goverenment,20-10-2000,BCOM,7.5,california,dothan@
ATNEST,goverenment,20-10-2000,MTECH,8.5,arizona,decatur!
BELL,goverenment,10-07-2004,BBA,9.5,alaska,auburn~
BURR,goverenment,12-12-2001,BE,10,alabama,madison`
BURD,goverenment,20-10-2000,ME,6.5,louisiana,hoover#
BACHTEL,goverenment,28-04-2005,BE,10,alabama,madison`
MULVETS,goverenment,20-10-2000,MS,8.5,arizona,decatur!
BURTNER,goverenment,20-10-2000,BE,10,alabama,madison`
BLOOM,goverenment,20-10-2000,BE,4.5,oregon,huntsville/
BECHTEL,goverenment,20-10-2000,BE,5.5,Maryland,tuscaloosa$
GAFF,goverenment,18-11-2002,BE,10,alabama,madison`
CLARK,private,20-10-2000,BE,10,alabama,madison`
COOTS,goverenment,20-10-2000,BSC,10,alabama,madison`
DUNSDILL,goverenment,20-10-2000,BE,10,alabama,madison`
DORONES,goverenment,20-10-2000,BTECH,10,alabama,madison`
DICKEY,goverenment,20-10-2000,BBA,10,alabama,madison`
DARRAH,goverenment,20-10-2000,BE,10,alabama,madison`
DAVIS,goverenment,20-10-2000,BE,9.5,alaska,auburn~
DICKIS,goverenment,20-10-2000,MBBS,10,alabama,madison`
HUFSELLEN,private,20-10-2000,MTECH,10,alabama,madison`
BLOOM,goverenment,20-10-2000,MS,4.5,oregon,huntsville/
FUNK,goverenment,20-10-2000,BE,10,alabama,madison`
FORE,goverenment,20-10-2000,BE,10,alabama,madison`
FLECKINGER,goverenment,20-10-2000,BE,10,alabama,madison`
FLECKINGER,goverenment,20-10-2000,BCOM,10,alabama,madison`
FLECKINGER,goverenment,20-10-2000,BBA,10,alabama,madison`
GIBSON,goverenment,20-10-2000,BE,10,alabama,madison`
GODARD,goverenment,20-10-2000,BE,10,alabama,madison`
GORDON,goverenment,20-10-2000,ME,10,alabama,madison`
HEFFLEY,goverenment,20-10-2000,BE,6.5,louisiana,hoover#
HARVMAN,goverenment,12-12-2001,BE,10,alabama,madison`
HUNTER,goverenment,28-04-2005,BE,10,alabama,madison`
HAMMIL,goverenment,10-07-2004,BE,3.5,Pennsylvania,prattville*
HUNTER,goverenment,20-10-2000,BE,2.5,vermont,gadsden+
HAMMIL,goverenment,20-10-2000,BE,10,alabama,madison`
HAWKINS,goverenment,20-10-2000,BE,10,alabama,madison`
HUMBERT,goverenment,20-10-2000,BE,10,alabama,madison`
HUMBERT,goverenment,20-10-2000,BE,5.5,Maryland,tuscaloosa$
JAMISON,goverenment,20-10-2000,MBBS,4.5,oregon,huntsville/
ISER,goverenment,20-10-2000,BSC,10,alabama,madison`
